id	name	code
1	Alabama	AL
2	Alaska	AK
3	American Samoa	AS
4	Arizona	AZ
5	Arkansas	AR
6	California	CA
7	Colorado	CO
8	Connecticut	CT
9	Delaware	DE
10	Florida	FL
11	Georgia	GA
12	Guam	GU
13	Hawaii	HI
14	Idaho	ID
15	Illinois	IL
16	Indiana	IN
17	Iowa	IA
18	Kansas	KS
19	Kentucky	KY
20	Louisiana	LA
21	Maine	ME
22	Maryland	MD
23	Massachusetts	MA
24	Michigan	MI
25	Minnesota	MN
26	Mississippi	MS
27	Missouri	MO
28	Montana	MT
29	Nebraska	NE
30	Nevada	NV
31	New Hampshire	NH
32	New Jersey	NJ
33	New Mexico	NM
34	New York	NY
35	North Carolina	NC
36	North Dakota	ND
37	Northern Mariana Islands	MP
38	Ohio	OH
39	Oklahoma	OK
40	Oregon	OR
41	Pennsylvania	PA
42	Puerto Rico	PR
43	Rhode Island	RI
44	South Carolina	SC
45	South Dakota	SD
46	Tennessee	TN
47	Texas	TX
48	Utah	UT
49	Vermont	VT
50	Virgin Islands	VI
51	Virginia	VA
52	Washington	WA
53	WashingtonD.C.	DC
54	West Virginia	WV
55	Wisconsin	WI
56	Wyoming	WY
