Region,Year,TotalRevenue
U.S. total,2016 ,18.84
U.S. total,2017 ,20.12
U.S. total,2018 ,18.58
U.S. total,2019 ,21.02
U.S. total,2020 ,20.65
Wisconsin,2016 ,19.9
Wisconsin,2017 ,21.22
Wisconsin,2018 ,19.38
Wisconsin,2019 ,21.89
Wisconsin,2020 ,21.94
Washington,2016 ,19.5
Washington,2017 ,21.16
Washington,2018 ,19.56
Washington,2019 ,21.66
Washington,2020 ,20.26
Virginia,2016 ,19.95
Virginia,2017 ,21.21
Virginia,2018 ,19.22
Virginia,2019 ,21.21
Virginia,2020 ,21.36
Vermont,2016 ,21.96
Vermont,2017 ,23.36
Vermont,2018 ,21.48
Vermont,2019 ,23.97
Vermont,2020 ,22.89
Utah,2016 ,18.29
Utah,2017 ,19.91
Utah,2018 ,18.23
Utah,2019 ,20.7
Utah,2020 ,20.4
Tennessee,2016 ,19.82
Tennessee,2017 ,21.98
Tennessee,2018 ,19.94
Tennessee,2019 ,22.01
Tennessee,2020 ,21.23
Pennsylvania,2016 ,19.47
Pennsylvania,2017 ,20.88
Pennsylvania,2018 ,18.96
Pennsylvania,2019 ,21.43
Pennsylvania,2020 ,20.29
Oregon,2016 ,20.91
Oregon,2017 ,23.09
Oregon,2018 ,21.76
Oregon,2019 ,24.53
Oregon,2020 ,24.49
Ohio,2016 ,18.64
Ohio,2017 ,20.14
Ohio,2018 ,18
Ohio,2019 ,20.35
Ohio,2020 ,19.98
New York,2016 ,19.3
New York,2017 ,20.43
New York,2018 ,18.8
New York,2019 ,21.08
New York,2020 ,19.89
Missouri,2016 ,19.27
Missouri,2017 ,20.31
Missouri,2018 ,18.6
Missouri,2019 ,21.35
Missouri,2020 ,20.02
Minnesota,2016 ,19.01
Minnesota,2017 ,19.9
Minnesota,2018 ,18.46
Minnesota,2019 ,21.33
Minnesota,2020 ,22.09
Michigan,2016 ,19.29
Michigan,2017 ,20.43
Michigan,2018 ,18.71
Michigan,2019 ,21.2
Michigan,2020 ,20.24
Maine,2016 ,22.89
Maine,2017 ,22.86
Maine,2018 ,21.01
Maine,2019 ,23.47
Maine,2020 ,23.64
Kentucky,2016 ,18.81
Kentucky,2017 ,19.68
Kentucky,2018 ,18.92
Kentucky,2019 ,20.88
Kentucky,2020 ,20.05
Iowa,2016 ,18.48
Iowa,2017 ,19.83
Iowa,2018 ,18.16
Iowa,2019 ,20.99
Iowa,2020 ,21.18
Indiana,2016 ,19.31
Indiana,2017 ,20.74
Indiana,2018 ,18.58
Indiana,2019 ,21.14
Indiana,2020 ,20.36
Illinois,2016 ,20.44
Illinois,2017 ,21.87
Illinois,2018 ,19.85
Illinois,2019 ,22.16
Illinois,2020 ,21.42
California,2016 ,18.19
California,2017 ,19.61
California,2018 ,18.73
California,2019 ,21.31
California,2020 ,21.17
